country,year,primary_energy_consumption,per_capita_energy,population,gdp,pm25_concentration,pm10_concentration,no2_concentration,num_cities_measured
France,2010,3001.231,4.732506550335125e-05,63417366.0,2342490492199.0,17.74651515151515,24.381048689138577,23.065714285714286,358
France,2014,2797.782,4.3247396780723946e-05,64692495.0,2437822780219.0,9.02,27.13,10.526,6
France,2015,2823.427,4.3493319717038256e-05,64916337.0,2464953810985.0,12.745564516129033,20.04169014084507,20.161634615384617,360
France,2016,2766.597,4.2506233939440894e-05,65086853.0,2491956183265.0,11.573565217391305,18.146554307116105,19.086414473684208,354
France,2017,2756.229,4.221855708317904e-05,65284775.0,2549057506683.0,10.9672,18.241818181818182,18.812983050847457,355
France,2018,2790.429,4.258926616041258e-05,65519537.0,2596599107835.0,10.373615384615384,17.667310344827587,17.4480602006689,354
France,2019,2731.347,4.1554380638453444e-05,65729460.0,2644453795826.0,9.418161764705882,17.024776632302405,16.602508361204013,355
Georgia,2014,49.582,1.307224695689681e-05,3792921.0,50830708616.0,29.0,41.495,,2
Georgia,2015,53.726,1.4169855758960008e-05,3791570.0,52369351007.0,24.5,47.5,,1
Georgia,2017,56.037,1.4774339153040185e-05,3792860.0,56501161966.0,20.0,39.0,,1
Germany,2010,3847.151,4.759504395570625e-05,80830916.0,3301123203586.0,17.34602409638554,22.574647887323945,25.707684210526313,301
Germany,2013,3868.517,4.7734964597988284e-05,81041581.0,3497463140441.0,14.110733944954127,19.76259067357513,29.82421052631579,292
Germany,2014,3710.465,4.5596508104015536e-05,81376078.0,3574741315261.0,14.033461538461538,19.456641221374046,25.512264150943395,328
Germany,2015,3780.86,4.6064486382183015e-05,82077546.0,3628073946157.0,12.6825,18.31889312977099,25.019686520376176,330
Germany,2016,3841.451,4.641670209637973e-05,82760102.0,3708979940863.0,12.198529411764707,17.070346153846153,24.899369085173504,330
Germany,2017,3949.556,4.7525456352828224e-05,83104010.0,3808389445530.0,12.078344827586207,16.816477272727273,23.598668730650154,334
Germany,2018,3845.414,4.612549916481052e-05,83368507.0,3845758522294.0,12.579533333333334,17.947148288973384,23.739298780487804,339
Germany,2019,3753.704,4.4922698144108254e-05,83559184.0,3886392581475.0,10.363333333333333,15.564431818181818,21.71975975975976,347
Ghana,2012,56.374,2.1086789979289882e-06,26734273.0,93421855305.0,,152.5,,1
Ghana,2013,59.633,2.1774841066810565e-06,27386193.0,100187456075.0,,193.43,,1
Ghana,2014,60.527,2.158472314981261e-06,28041592.0,103048820009.0,,179.17,,1
Ghana,2015,72.173,2.5150829881902648e-06,28696071.0,105234477793.0,,176.4,,1
Ghana,2016,73.76,2.512540903729897e-06,29356736.0,108784039058.0,55.0,,,1
Greece,2010,378.437,3.401783028811831e-05,11124666.0,290984350750.0,14.86,38.536,25.728571428571428,16
Greece,2013,328.303,2.9934076338400226e-05,10967534.0,241650188710.0,10.02,33.30444444444444,20.2475,19
Greece,2014,307.91,2.8266338289619855e-05,10893169.0,242799798246.0,,31.5525,22.427333333333333,18
Greece,2015,311.723,2.8807487582828124e-05,10820902.0,242323725826.0,18.845,32.367777777777775,24.34058823529412,18
Greece,2016,306.993,2.8489891797192633e-05,10775506.0,241143085639.0,17.05142857142857,32.2,26.63375,19
Greece,2017,322.197,2.996196970446547e-05,10753532.0,243776808141.0,16.45875,28.73785714285714,28.843846153846155,15
Greece,2018,324.066,3.0199482873950477e-05,10730846.0,247844015413.0,16.599999999999998,30.255625000000002,29.2,18
Greece,2019,316.887,2.9564267882101186e-05,10718581.0,252514250712.0,16.838,29.483529411764703,24.623333333333335,19
Guatemala,2011,52.144,3.525119416597604e-06,14792123.0,100335200000.0,,61.25,31.75,1
Guatemala,2012,55.158,3.655355837207239e-06,15089639.0,103492749162.0,,45.0,29.25,1
